ID,variable,value_1,value_2,resolution
338,D_LOC_TIME,NA,NA,NA
339,D_LOC_TIME,NA,NA,NA
340,D_LOC_TIME,NA,NA,NA
341,D_LOC_TIME,NA,NA,NA
342,D_LOC_TIME,NA,NA,NA
343,D_LOC_TIME,NA,NA,NA
344,D_LOC_TIME,NA,NA,NA
345,D_LOC_TIME,NA,NA,NA
346,D_LOC_TIME,NA,NA,NA
347,D_LOC_TIME,NA,NA,NA
348,D_LOC_TIME,NA,NA,NA
349,D_LOC_TIME,NA,NA,NA
350,D_LOC_TIME,NA,NA,NA
351,D_LOC_TIME,NA,NA,NA
352,D_LOC_TIME,NA,NA,NA
353,D_LOC_TIME,NA,NA,NA
354,D_LOC_TIME,NA,NA,NA
355,D_LOC_TIME,NA,NA,NA
356,D_LOC_TIME,NA,NA,NA
357,D_LOC_TIME,NA,NA,NA
358,D_LOC_TIME,NA,NA,NA
360,D_LOC_TIME,NA,NA,NA
362,D_LOC_TIME,NA,NA,NA
364,D_LOC_TIME,NA,NA,NA
365,D_LOC_TIME,NA,NA,NA
366,D_LOC_TIME,NA,NA,NA
367,D_LOC_TIME,NA,NA,NA
368,D_LOC_TIME,NA,NA,NA
369,D_LOC_TIME,NA,NA,NA
370,D_LOC_TIME,NA,NA,NA
371,D_LOC_TIME,NA,NA,NA
372,D_LOC_TIME,NA,NA,NA
373,D_LOC_TIME,NA,NA,NA
374,D_LOC_TIME,NA,NA,NA
375,D_LOC_TIME,NA,NA,NA
376,D_LOC_TIME,NA,NA,NA
377,D_LOC_TIME,NA,NA,NA
378,D_LOC_TIME,NA,NA,NA
379,D_LOC_TIME,NA,NA,NA
380,D_LOC_TIME,NA,NA,NA
381,D_LOC_TIME,NA,NA,NA
382,D_LOC_TIME,NA,NA,NA
383,D_LOC_TIME,NA,NA,NA
384,D_LOC_TIME,"1 ano en casa, anterior 5 (2 casas).",NA,NA
384,D_LOC_TIME,NA,NA,NA
385,D_LOC_TIME,NA,NA,NA
386,D_LOC_TIME,NA,NA,NA
387,D_LOC_TIME,NA,NA,NA
388,D_LOC_TIME,NA,NA,NA
389,D_LOC_TIME,NA,NA,NA
390,D_LOC_TIME,NA,NA,NA
391,D_LOC_TIME,NA,NA,NA
393,D_LOC_TIME,NA,NA,NA
394,D_LOC_TIME,3,31,NA
395,D_LOC_TIME,NA,NA,NA
442,D_LOC_TIME,NA,NA,NA
451,D_LOC_TIME,1 ano en casa nueva,NA,NA
470,D_LOC_TIME,NA,NA,NA
496,D_LOC_TIME,NA,NA,NA
